MOTION_ID,PARENT_MOTION_ID,MUSCLE_TARGETS,motionPaths,torsoAngles,torsoOrientations,resistanceOrigin,grips,gripWidths,elbowRelationship,executionStyles,footPositions,stanceWidths,stanceTypes,loadPlacement,supportStructures,loadingAids,rangeOfMotion
ANTI_EXTENSION,,{},,,,,,,,,,,,,,,
ANTI_LATERAL_FLEXION,,{},,,,,,,,,,,,,,,
ANTI_ROTATION,,{},,,,,,,,,,,,,,,
EXTENSION_BACK,,{},,,,,,,,,,,,,,,
CALF_RAISE,,{},,,,,,,,,,,,,,,
CALF_RAISE_BENT,CALF_RAISE,{},,,,,,,,,,,,,,,
CALF_RAISE_STRAIGHT,CALF_RAISE,{},,,,,,,,,,,,,,,
CHEST_FLY,,{},,,,,,,,,,,,,,,
CHEST_FLY_DECLINE,CHEST_FLY,{},,,,,,,,,,,,,,,
CHEST_FLY_FLAT,CHEST_FLY,{},,,,,,,,,,,,,,,
CHEST_FLY_INCLINE,CHEST_FLY,{},,,,,,,,,,,,,,,
CHEST_PRESS,,{},,,,,,,,,,,,,,,
CHEST_PRESS_DECLINE,CHEST_PRESS,{},,,,,,,,,,,,,,,
CHEST_PRESS_FLAT,CHEST_PRESS,{},,,,,,,,,,,,,,,
CHEST_PRESS_INCLINE,CHEST_PRESS,{},,,,,,,,,,,,,,,
COMPOSITE,,{},,,,,,,,,,,,,,,
BALL_SLAM,COMPOSITE,{},,,,,,,,,,,,,,,
BURPEE,COMPOSITE,{},,,,,,,,,,,,,,,
FARMERS_WALK,COMPOSITE,{},,,,,,,,,,,,,,,
KETTLEBELL_SWING,COMPOSITE,{},,,,,,,,,,,,,,,
MUSCLE_UP,COMPOSITE,{},,,,,,,,,,,,,,,
THRUSTER,COMPOSITE,{},,,,,,,,,,,,,,,
TURKISH_GET_UP,COMPOSITE,{},,,,,,,,,,,,,,,
CRUNCH,,{},,,,,,,,,,,,,,,
CURL,,{},,,,,,,,,,,,,,,
DIP,,{},,,,,,,,,,,,,,,
DIP_CHEST,DIP,{},,,,,,,,,,,,,,,
DIP_TRICEPS,DIP,{},,,,,,,,,,,,,,,
DORSIFLEXION,,{},,,,,,,,,,,,,,,
FACE_PULL,,{},,,,,,,,,,,,,,,
HINGE,,{},,,,,,,,,,,,,,,
DEADLIFT,HINGE,{},,,,,,,,,,,,,,,
RDL,HINGE,{},,,,,,,,,,,,,,,
HIP_ABDUCTION,,{},,,,,,,,,,,,,,,
HIP_ADDUCTION,,{},,,,,,,,,,,,,,,
THRUST,,{},,,,,,,,,,,,,,,
ROW_HORIZONTAL,,{},,,,,,,,,,,,,,,
ROW_HORIZONTAL_HIGH,ROW_HORIZONTAL,{},,,,,,,,,,,,,,,
ROW_HORIZONTAL_LOW,ROW_HORIZONTAL,{},,,,,,,,,,,,,,,
ROW_HORIZONTAL_MID,ROW_HORIZONTAL,{},,,,,,,,,,,,,,,
LEG_CURL,,{},,,,,,,,,,,,,,,
LEG_EXTENSION,,{},,,,,,,,,,,,,,,
LEG_RAISE,,{},,,,,,,,,,,,,,,
LUNGE,,{},,,,,,,,,,,,,,,
LUNGE_SIDE,LUNGE,{},,,,,,,,,,,,,,,
SPLIT_SQUAT,LUNGE,{},,,,,,,,,,,,,,,
NECK_EXTENSION,,{},,,,,,,,,,,,,,,
NECK_FLEXION,,{},,,,,,,,,,,,,,,
OLYMPIC,,{},,,,,,,,,,,,,,,
CLEAN,OLYMPIC,{},,,,,,,,,,,,,,,
CLEAN_AND_JERK,OLYMPIC,{},,,,,,,,,,,,,,,
HANG_CLEAN,OLYMPIC,{},,,,,,,,,,,,,,,
HANG_SNATCH,OLYMPIC,{},,,,,,,,,,,,,,,
JERK,OLYMPIC,{},,,,,,,,,,,,,,,
JUMP_SHRUG,OLYMPIC,{},,,,,,,,,,,,,,,
OLYMPIC_HIGH_PULL,OLYMPIC,{},,,,,,,,,,,,,,,
POWER_CLEAN,OLYMPIC,{},,,,,,,,,,,,,,,
POWER_SNATCH,OLYMPIC,{},,,,,,,,,,,,,,,
PUSH_JERK,OLYMPIC,{},,,,,,,,,,,,,,,
SNATCH,OLYMPIC,{},,,,,,,,,,,,,,,
SNATCH_PULL,OLYMPIC,{},,,,,,,,,,,,,,,
SPLIT_JERK,OLYMPIC,{},,,,,,,,,,,,,,,
PLANK,,{},,,,,,,,,,,,,,,
PULL_UP,,{},,,,,,,,,,,,,,,
PULL_DOWN,,{},,,,,,,,,,,,,,,
REVERSE_FLY,,{},,,,,,,,,,,,,,,
SHOULDER_EXTENSION,,{},,,,,,,,,,,,,,,
SHOULDER_EXTERNAL_ROTATION,,{},,,,,,,,,,,,,,,
SHOULDER_INTERNAL_ROTATION,,{},,,,,,,,,,,,,,,
SHOULDER_PRESS,,{},,,,,,,,,,,,,,,
SHOULDER_RAISE,,{},,,,,,,,,,,,,,,
SHOULDER_RAISE_FRONT,SHOULDER_RAISE,{},,,,,,,,,,,,,,,
SHOULDER_RAISE_LATERAL,SHOULDER_RAISE,{},,,,,,,,,,,,,,,
SHOULDER_RAISE_SCAPTION,SHOULDER_RAISE,{},,,,,,,,,,,,,,,
SHRUG,,{},,,,,,,,,,,,,,,
SIDE_BEND,,{},,,,,,,,,,,,,,,
SQUAT,,{},,,,,,,,,,,,,,,
SQUAT_BACK,SQUAT,{},,,,,,,,,,,,,,,
SQUAT_FRONT,SQUAT,{},,,,,,,,,,,,,,,
SQUEEZE_PRESS,,{},,,,,,,,,,,,,,,
STEP_UP,,{},,,,,,,,,,,,,,,
TORSO_ROTATION,,{},,,,,,,,,,,,,,,
TRICEP_EXTENSION,,{},,,,,,,,,,,,,,,
TRICEP_EXTENSION_OVERHEAD,TRICEP_EXTENSION,{},,,,,,,,,,,,,,,
TRICEP_EXTENSION_PUSHDOWN,TRICEP_EXTENSION,{},,,,,,,,,,,,,,,
VACUUM,,{},,,,,,,,,,,,,,,
WALL_SIT,,{},,,,,,,,,,,,,,,
WRIST_EXTENSION,,{},,,,,,,,,,,,,,,
WRIST_FLEXION,,{},,,,,,,,,,,,,,,
