id,label,common_names,load_category,allows_secondary,is_valid_secondary,delta_rules,short_description,sort_order,icon,is_active,source_type
POSTERIOR_HIGH,Upper Back,"[""High Bar"",""Traps"",""Yoke"",""Back Squat""]",BODY_SUPPORTED,FALSE,FALSE,{},Load sits on the traps. Both hands are required to stabilize. SQUAT_REGULAR home base.,0,,TRUE,seed
ANTERIOR_RACK,Front Rack,"[""Front Barbell"",""Clavicle Load"",""Front Squat""]",BODY_SUPPORTED,FALSE,FALSE,"{""LUNGE_STATIC"":{""QUADS"":0.15,""CORE_DEEP"":0.15,""BACK_UPPER"":0.15},""SQUAT_REGULAR"":{""QUADS"":0.2,""GLUTES"":-0.1,""CORE_DEEP"":0.2,""BACK_UPPER"":0.2}}","Bar rests on the anterior deltoids. Forces upright posture, shifting load to quads and upper back. SQUAT_FRONT home base.",1,,TRUE,seed
ANTERIOR_CLOSE,Front (Held),"[""Goblet"",""Zercher"",""Chest Hold""]",HAND_HELD,FALSE,TRUE,"{""LUNGE_STATIC"":{""CORE_DEEP"":0.1},""SQUAT_REGULAR"":{""QUADS"":0.15,""CORE_DEEP"":0.15,""BICEP_INNER"":0.1}}",Goblet/Zercher style. Hands are actively holding the weight against the chest.,2,,TRUE,seed
ANTERIOR_EXTENDED,Front (Extended),"[""Counterbalance"",""Reach Load"",""Plate Hold""]",HAND_HELD,FALSE,TRUE,"{""SQUAT_REGULAR"":{""CORE_DEEP"":0.35,""BACK_LOWER"":-0.2,""DELTS_FRONT"":0.25}}",Counterbalance hold. Massive anterior core demand. Perfect secondary load for Belt Squats.,3,,TRUE,seed
PELVIC,Waist / Hips,"[""Belt Squat"",""Hip Belt"",""Dip Belt""]",BODY_SUPPORTED,TRUE,TRUE,"{""HINGE_STD"":{""BACK_LOWER"":-0.8,""TRAPS_UPPER"":-0.7},""SQUAT_REGULAR"":{""CORE_DEEP"":-0.4,""BACK_LOWER"":-0.6,""BACK_UPPER"":-0.3}}","Belt Squat. Removes axial spinal loading. Hands are free, allowing secondary loads.",4,,TRUE,seed
TORSO_WEARABLE,Torso (Vest),"[""Weighted Vest"",""Body Armor"",""Ruck""]",BODY_SUPPORTED,TRUE,TRUE,"{""LUNGE_STEP"":{""CORE_DEEP"":0.15},""SQUAT_REGULAR"":{""CORE_DEEP"":0.15,""BACK_UPPER"":0.1}}",Weighted vest. Adds mass without occupying hands. Can be primary or secondary.,5,,TRUE,seed
LATERAL_HANGING,Sides (Hands),"[""Farmer's Carry"",""Suitcase"",""Dumbbells at Side""]",HAND_HELD,FALSE,TRUE,"{""SQUAT_REGULAR"":{""BACK_LOWER"":-0.1,""TRAPS_UPPER"":0.2,""FOREARM_BOTTOM"":0.4}}",Farmer's carry style. Hands are occupied. Lowers center of gravity.,6,,TRUE,seed
OVERHEAD,Overhead,"[""OHS"",""Waiter's Hold"",""Locked Out""]",HAND_HELD,FALSE,FALSE,"{""SQUAT_REGULAR"":{""CORE_DEEP"":0.4,""DELTS_SIDE"":0.2,""TRAPS_UPPER"":0.3}}",Locked out overhead. Requires full body coordination. Cannot safely mix with other placements.,7,,TRUE,seed
AXIAL_INTERNAL,Leg-Isolated,"[""Leg Press"",""Machine Supported"",""Hack Squat""]",MACHINE_SUPPORTED,FALSE,FALSE,"{""SQUAT_REGULAR"":{""CORE_DEEP"":-0.8,""BACK_LOWER"":-0.9,""BACK_UPPER"":-0.5}}",Leg Press/Hack Squat machine. The machine supports the weight entirely.,8,,TRUE,seed
POSTERIOR_MID,Mid Back / Low-Bar,"[""Low-Bar Squat"",""Low-Bar Position"",""Mid-Back Bar Position"",""Rear Delt Shelf"",""Low-Bar Good Morning""]",BODY_SUPPORTED,FALSE,FALSE,{},Low bar across rear delts/mid traps,220,📍,TRUE,seed
