id,label,common_names,short_description,delta_rules,angle_range,allow_torso_orientations,sort_order,icon,is_active,source_type
DEG_NEG_60,-60° Decline,"[""Severe Decline"",""Inverted""]",Extreme decline. Usually requires locking the legs in. Maximum lower chest isolation.,"{""AB_CRUNCH"":{""ABS_UPPER"":0.3,""CORE_DEEP"":0.15},""PRESS_FLAT"":{""CHEST_MID"":-0.2,""CHEST_LOWER"":0.3,""TRICEP_OUTER"":0.1}}","{""max"":-60,""min"":-60,""step"":0,""default"":-60}",TRUE,0,,TRUE,seed
DEG_NEG_45,-45° Decline,"[""Standard Decline"",""Steep Decline""]",Standard steep decline bench.,"{""BURPEE"":{""ARMS"":1},""AB_CRUNCH"":{""ABS_UPPER"":0.2,""CORE_DEEP"":0.1},""PRESS_FLAT"":{""CHEST_MID"":-0.15,""CHEST_LOWER"":0.25},""HANG_SNATCH"":""inherit"",""EXTENSION_WRIST"":{""BACK"":1}}","{""max"":-45,""min"":-45,""step"":0,""default"":-45}",TRUE,1,,TRUE,seed
DEG_NEG_30,-30° Decline,"[""Moderate Decline""]",Moderate decline angle.,"{""AB_CRUNCH"":{""ABS_UPPER"":0.15},""PRESS_FLAT"":{""CHEST_MID"":-0.1,""CHEST_LOWER"":0.2}}","{""max"":-30,""min"":-30,""step"":0,""default"":-30}",TRUE,2,,TRUE,seed
DEG_NEG_15,-15° Decline,"[""Shallow Decline"",""Slight Decline""]",Shallow decline. PRESS_DECLINE home base.,"{""AB_CRUNCH"":{""ABS_UPPER"":0.1},""PRESS_FLAT"":{""CHEST_MID"":-0.05,""CHEST_LOWER"":0.1}}","{""max"":-15,""min"":-15,""step"":0,""default"":-15}",TRUE,3,,TRUE,seed
DEG_0,0° Flat,"[""Flat"",""Horizontal"",""Level""]",Perfectly horizontal. PRESS_FLAT and FLY_FLAT home base.,{},"{""max"":0,""min"":0,""step"":0,""default"":0}",TRUE,4,,TRUE,seed
DEG_15,15° Incline,"[""Shallow Incline"",""Slight Incline""]",One notch up on the bench. Shifts tension to the clavicular head without engaging front delts yet.,"{""CURL"":{""BICEP_INNER"":-0.05,""BICEP_OUTER"":0.1},""PRESS_FLAT"":{""CHEST_MID"":-0.05,""CHEST_UPPER"":0.1}}","{""max"":15,""min"":15,""step"":0,""default"":15}",TRUE,5,,TRUE,seed
DEG_30,30° Incline,"[""Moderate Incline"",""Low Incline""]",Two notches up. Upper chest reaches near-peak activation.,"{""CURL"":{""BICEP_INNER"":-0.1,""BICEP_OUTER"":0.15},""PRESS_FLAT"":{""CHEST_MID"":-0.1,""CHEST_UPPER"":0.2,""DELTS_FRONT"":0.05}}","{""max"":30,""min"":30,""step"":0,""default"":30}",TRUE,6,,TRUE,seed
DEG_45,45° Incline,"[""Standard Incline"",""True Incline""]",True standard incline. Even split of upper chest and front delt. PRESS_INCLINE home base.,"{""CURL"":{""BICEP_INNER"":-0.15,""BICEP_OUTER"":0.2},""PRESS_FLAT"":{""CHEST_MID"":-0.2,""CHEST_UPPER"":0.25,""DELTS_FRONT"":0.15}}","{""max"":45,""min"":45,""step"":0,""default"":45}",TRUE,7,,TRUE,seed
DEG_60,60° Incline,"[""Steep Incline"",""High Incline""]",Steep incline. Front delts officially take over as the primary mover.,"{""CURL"":{""BICEP_INNER"":-0.2,""BICEP_OUTER"":0.25},""PRESS_FLAT"":{""CHEST_MID"":-0.25,""CHEST_UPPER"":0.15,""DELTS_FRONT"":0.25}}","{""max"":60,""min"":60,""step"":0,""default"":60}",TRUE,8,,TRUE,seed
DEG_75,75° Incline,"[""Very High Incline"",""Shoulder Bias""]",High incline. Almost entirely front delts. PRESS_HIGH_INCLINE home base.,"{""CURL"":{""BICEP_INNER"":-0.25,""BICEP_OUTER"":0.3},""PRESS_FLAT"":{""CHEST_MID"":-0.3,""CHEST_UPPER"":0.05,""DELTS_FRONT"":0.3}}","{""max"":75,""min"":75,""step"":0,""default"":75}",TRUE,9,,TRUE,seed
DEG_90,90° Upright,"[""Seated"",""Vertical"",""Overhead""]",Dead vertical. Removes chest from the press entirely. PRESS_OVERHEAD home base.,"{""LEG_CURL"":{""HAMSTRINGS"":0.2,""HAMSTRING_INNER"":0.1},""AB_CRUNCH"":{""ABS_LOWER"":0.15}}","{""max"":90,""min"":90,""step"":0,""default"":90}",FALSE,10,,TRUE,seed
DELETEIT,Test,"[""Severe Decline"",""Inverted""]",Extreme decline. Usually requires locking the legs in. Maximum lower chest isolation.,{},"{""max"":-60,""min"":-60,""step"":0,""default"":-60}",TRUE,999,,TRUE,admin
